#DEPTH	        P-VEL	        S-VEL           DENS         QP	            QS
        0.00            5.21            2.99            2.00         300.00         150.00
        3.00            5.37            3.09            2.60         600.00         300.00
        5.00            5.55            3.19            2.60         600.00         300.00
        7.00            5.72            3.29            2.60         600.00         300.00
        9.00            5.89            3.39            2.60         600.00         300.00
       11.00            5.98            3.44            2.60         600.00         300.00
       15.50            6.80            3.83            2.90         700.00         350.00
       25.50            6.96            3.99            2.90         700.00         350.00
       35.50            7.11            4.11            3.10         700.00         350.00
       40.50            7.41            4.18            3.30         700.00         350.00
       45.50            7.69            4.30            3.30         700.00         350.00
       50.50            8.05            4.39            3.30        1000.00         500.00
       60.50            8.09            4.48            3.38        1447.20         600.00
       64.10            8.09            4.48            3.38        1447.32         600.00
       68.07            8.08            4.47            3.38        1447.43         600.00
       72.04            8.08            4.47            3.38        1447.54         600.00
       76.01            8.08            4.47            3.38        1447.64         600.00
       79.98            8.08            4.47            3.37         195.55          80.00
       86.07            8.07            4.47            3.37         195.57          80.00
       92.16            8.07            4.46            3.37         195.59          80.00
       98.25            8.06            4.46            3.37         195.61          80.00
      104.34            8.06            4.46            3.37         195.62          80.00
      110.43            8.06            4.46            3.37         195.64          80.00
      116.52            8.05            4.46            3.37         195.66          80.00
      122.61            8.05            4.45            3.37         195.67          80.00
      128.70            8.05            4.45            3.37         195.68          80.00
      134.79            8.04            4.45            3.37         195.70          80.00
      140.88            8.04            4.45            3.37         195.71          80.00
      146.97            8.03            4.44            3.37         195.72          80.00
      153.06            8.03            4.44            3.37         195.73          80.00
      159.15            8.03            4.44            3.37         195.73          80.00
      165.24            8.02            4.44            3.37         195.74          80.00
      171.33            8.02            4.44            3.36         195.75          80.00
      177.42            8.02            4.43            3.36         195.75          80.00
      183.51            8.01            4.43            3.36         195.75          80.00
      189.60            8.01            4.43            3.36         195.76          80.00
      195.69            8.00            4.43            3.36         195.76          80.00
      201.78            8.00            4.42            3.36         195.76          80.00
      207.87            8.00            4.42            3.36         195.76          80.00
      213.96            7.99            4.42            3.36         195.76          80.00
      220.05            8.57            4.65            3.44         363.08         143.00
      226.05            8.58            4.65            3.44         363.40         143.00
      232.05            8.59            4.65            3.45         363.72         143.00
      238.05            8.60            4.66            3.45         364.04         143.00
      244.05            8.61            4.66            3.45         364.36         143.00
      250.05            8.62            4.67            3.46         364.68         143.00
      256.05            8.63            4.67            3.46         365.00         143.00
      262.05            8.65            4.68            3.46         365.31         143.00
      268.05            8.66            4.68            3.47         365.63         143.00
      274.05            8.67            4.68            3.47         365.95         143.00
      280.05            8.68            4.69            3.47         366.26         143.00
      286.05            8.69            4.69            3.48         366.58         143.00
      292.05            8.70            4.70            3.48         366.89         143.00
      298.05            8.72            4.70            3.48         367.21         143.00
      304.05            8.73            4.71            3.49         367.52         143.00
      310.05            8.74            4.71            3.49         367.84         143.00
      316.05            8.75            4.71            3.50         368.15         143.00
      322.05            8.76            4.72            3.50         368.46         143.00
      328.05            8.77            4.72            3.50         368.78         143.00
      334.05            8.78            4.73            3.51         369.09         143.00
      340.05            8.80            4.73            3.51         369.40         143.00
      346.05            8.81            4.73            3.51         369.71         143.00
      352.05            8.82            4.74            3.52         370.02         143.00
      358.05            8.83            4.74            3.52         370.33         143.00
      364.05            8.84            4.75            3.52         370.64         143.00
      370.05            8.85            4.75            3.53         370.95         143.00
      376.05	        8.87	        4.76	        3.53	     371.26	    143.00
      382.05		8.88		4.76		3.53	     371.57	    143.00
      388.05		8.89		4.76		3.54	     371.88	    143.00
      394.05		8.90		4.77		3.54	     372.19	    143.00
      400.05		9.15		4.94		3.73	     366.24	    143.00
      406.72            9.19            4.96            3.74         366.09         143.00
      413.39            9.22            4.98            3.75         365.94         143.00
      420.06            9.25            5.00            3.75         365.80         143.00
      426.73            9.29            5.02            3.76         365.65         143.00
      433.40            9.32            5.04            3.77         365.51         143.00
      440.07            9.36            5.06            3.78         365.37         143.00
      446.74            9.39            5.08            3.79         365.22         143.00
      453.41            9.42            5.10            3.80         365.08         143.00
      460.08            9.46            5.12            3.80         364.94         143.00
      466.75            9.49            5.14            3.81         364.80         143.00
      473.42            9.53            5.16            3.82         364.67         143.00
      480.09            9.56            5.18            3.83         364.53         143.00
      486.76            9.59            5.20            3.84         364.40         143.00 
      493.43            9.63            5.22            3.85         364.26         143.00
      500.10            9.66            5.23            3.85         364.13         143.00
      506.77            9.70            5.25            3.86         364.00         143.00
      513.44            9.73            5.27            3.87         363.86         143.00
      520.11            9.77            5.29            3.88         363.73         143.00
      526.78            9.80            5.31            3.89         363.60         143.00
      533.45            9.83            5.33            3.90         363.48         143.00
      540.12            9.87            5.35            3.90         363.35         143.00
      546.79            9.90            5.37            3.91         363.22         143.00
      553.46            9.94            5.39            3.92         363.10         143.00
      560.13            9.97            5.41            3.93         362.97         143.00
      566.80           10.00            5.43            3.94         362.85         143.00
      573.47           10.04            5.45            3.95         362.73         143.00
      580.14           10.07            5.47            3.96         362.60         143.00
      586.81           10.11            5.49            3.96         362.48         143.00
      593.48           10.14            5.51            3.97         362.36         143.00
      600.15           10.16            5.52            3.98         362.32         143.00
