LAT,LON,X==EW,Y==NS,Z,SLIP
-32.384,-72.5657,-87.9776,-87.6472,3.215,0.5812
-32.2766,-72.5524,-86.831,-75.6947,3.215,0.8676
-32.1692,-72.5392,-85.6812,-63.7424,3.215,1.35
-32.0618,-72.5259,-84.5236,-51.7902,3.215,1.9342
-31.9544,-72.5127,-83.3722,-39.8383,3.215,2.5841
-31.847,-72.4994,-82.2084,-27.8864,3.215,3.6528
-31.7396,-72.4862,-81.0508,-15.9347,3.215,3.5482
-31.6322,-72.4729,-79.8807,-3.9831,3.215,3.2431
-31.5248,-72.4597,-78.7169,7.9683,3.215,3.4892
-31.4174,-72.4464,-77.5406,19.9196,3.215,2.9279
-31.31,-72.4332,-76.3707,31.8706,3.215,2.6666
-31.2026,-72.4199,-75.1882,43.8216,3.215,2.7973
-31.0952,-72.4066,-74.0027,55.7725,3.215,3.1315
-30.9878,-72.3934,-72.8284,67.7231,3.215,2.3717
-30.8804,-72.3801,-71.632,79.6736,3.215,1.1406
-30.773,-72.3669,-70.4469,91.624,3.215,1.5955
-30.6656,-72.3536,-69.2491,103.5742,3.215,2.014
-30.5582,-72.3404,-68.058,115.5242,3.215,1.6964
-30.4508,-72.3271,-66.859,127.4741,3.215,1.0751
-30.3434,-72.3139,-65.6571,139.4239,3.215,0.8625
-30.236,-72.3006,-64.4521,151.3735,3.215,0.5439
-30.1286,-72.2874,-63.2442,163.3229,3.215,0.4224
-30.0212,-72.2741,-62.0333,175.2722,3.215,0.4108
-29.9138,-72.2609,-60.8243,187.2214,3.215,0.0505
-29.8064,-72.2476,-59.6027,199.1704,3.215,0.1373
-32.3918,-72.4782,-79.7544,-88.4468,6.08,0.9765
-32.2844,-72.465,-78.6076,-76.4954,6.08,0.923
-32.177,-72.4517,-77.4389,-64.5441,6.08,0.7656
-32.0696,-72.4385,-76.2811,-52.593,6.08,1.5031
-31.9622,-72.4252,-75.1109,-40.6419,6.08,2.1747
-31.8548,-72.412,-73.9469,-28.6911,6.08,3.2989
-31.7474,-72.3987,-72.7752,-16.7404,6.08,3.5804
-31.64,-72.3855,-71.6003,-4.7898,6.08,3.7632
-31.5326,-72.3722,-70.4224,7.1606,6.08,5.1804
-31.4252,-72.359,-69.2414,19.1108,6.08,5.2807
-31.3178,-72.3457,-68.0526,31.061,6.08,3.987
-31.2104,-72.3325,-66.8703,43.0109,6.08,4.3521
-31.103,-72.3192,-65.6754,54.9607,6.08,4.9287
-30.9956,-72.306,-64.4917,66.9103,6.08,4.4497
-30.8882,-72.2927,-63.286,78.8599,6.08,2.8496
-30.7808,-72.2795,-62.0964,90.8092,6.08,2.3452
-30.6734,-72.2662,-60.8846,102.7585,6.08,2.6143
-30.566,-72.253,-59.6842,114.7075,6.08,1.9317
-30.4586,-72.2397,-58.476,126.6564,6.08,2.4781
-30.3512,-72.2264,-57.2552,138.6052,6.08,2.7063
-30.2438,-72.2132,-56.0507,150.5537,6.08,1.551
-30.1364,-72.1999,-54.824,162.5022,6.08,0.9373
-30.029,-72.1867,-53.6135,174.4505,6.08,0.3498
-29.9216,-72.1734,-52.3857,186.3987,6.08,0.0714
-29.8142,-72.1602,-51.1646,198.3466,6.08,0.0591
-32.3996,-72.3908,-71.542,-89.2532,8.945,1.585
-32.2922,-72.3776,-70.3856,-77.3028,8.945,1.756
-32.1848,-72.3643,-69.2073,-65.3524,8.945,1.3237
-32.0774,-72.3511,-68.04,-53.4023,8.945,0.6902
-31.97,-72.3378,-66.8603,-41.4523,8.945,0.7176
-31.8626,-72.3246,-65.6868,-29.5024,8.945,1.2861
-31.7552,-72.3113,-64.5056,-17.5527,8.945,2.0252
-31.6478,-72.298,-63.3118,-5.6031,8.945,2.6334
-31.5404,-72.2848,-62.134,6.3462,8.945,4.7339
-31.433,-72.2715,-60.9341,18.2956,8.945,5.1274
-31.3256,-72.2583,-59.7454,30.2446,8.945,4.8756
-31.2182,-72.245,-58.5441,42.1936,8.945,5.4637
-31.1108,-72.2318,-57.3494,54.1424,8.945,6.5969
-31.0034,-72.2185,-56.1469,66.091,8.945,6.6555
